name,ivy_league,education,networth,birthYear
Frank Fertitta III,False,['University of Southern California'],1.4E9,1962
Frank Rainieri,False,"[""Saint Joseph's University""]",1.0E9,1944
François-Henri Pinault,False,['HEC Paris'],1.38E10,1962
Fred DeLuca,False,['University of Bridgeport'],3.5E9,1947
Fredrik Lundberg,False,['Stockholm School of Economics'],1.5E9,1951
Farhad Moshiri (businessman),False,['University College London'],1.84E9,1955
Fazle Hasan Abed,False,"['University of Glasgow', 'Dhaka College', 'Naval architecture']",2.7E9,1936
Florentino Pérez,False,['Technical University of Madrid'],2.0E9,1947
Gautam Singhania,False,['Cathedral and John Connon School'],1.4E9,1965
Geoffrey Edelsten,False,"['University of Melbourne', 'Mount Scopus Memorial College', 'Princes Hill Secondary College']",6.3E7,1943
George R. Roberts,False,"['University of California Hastings College of the Law', 'Claremont McKenna College']",5.1E9,1944
George Soros,False,['London School of Economics'],2.45E10,1930
Gert Verhulst,False,['Autodidacticism'],1.12E8,1968
Gigi Pritzker,False,['Stanford University'],1.9E9,1962
Gina Rinehart,False,"['University of Sydney', ""St Hilda's Anglican School for Girls""]",9.8E9,1954
Galen Weston,False,['University of Western Ontario'],9.8E9,1940
Glenn Beck,False,['Sehome High School'],9.0E7,1964
Glenn Dubin,False,['Stony Brook University'],2.0E9,1957
Graeme Hart,False,"['University of Otago', 'Master of Business Administration', 'Mount Roskill Grammar School', 'New Zealand', 'Auckland']",8.1E9,1955
Greg Coffey,False,['Macquarie University'],7.43E8,1971
Guo Guangchang,False,['Fudan University'],7.3E9,1967
Gustavo Cisneros,False,"['Babson College', 'Suffield Academy']",4.0E9,1945
Gwen Stefani,False,['California State University Fullerton'],8.0E7,1969
Gérard Louis-Dreyfus,False,"['Duke University', 'Juris Doctor']",3.4E9,1932
Hiroshi Yamauchi,False,['Waseda University'],2.5E9,1927
Howard Schultz,False,['Northern Michigan University'],2.9E9,1953
Hans Rausing,False,['Lund University'],1.25E10,1926
Harold Simmons,False,['University of Texas at Austin'],1.0E10,1931
Harry Sargeant III,False,['Florida State University'],1.0E9,1957
Harvey McGrath,False,"[""St Catharine's College Cambridge"", 'Methodist College Belfast']",1.0E8,2014
Heather Mills,False,"['Washington Tyne and Wear', 'Chestnut Grove Academy']",2.43E7,1968
Heinz Bauer (publisher),False,['University of Hamburg'],1.9E9,1939
Henadiy Boholyubov,False,['Prydniprovska State Academy of Civil Engineering and Architecture'],1.8E9,1962
Henry Nicholas,False,"['University of California Los Angeles', 'Electrical engineering']",1.7E9,1959
Henry Samueli,False,['University of California Los Angeles'],2.4E9,1954
Henry Sy,False,['Far Eastern University'],1.57E10,1924
